Division,Cat,Category,DeptID,ClassID,YR,MX,Sales,SalesLY,Units,UnitsLY,StockEOM,StockEOMLY,GM,GMLY,MKDN,MKDNLY,OnPO
Clothing,B,Banff,1,11B,2025,202501,29260,24979,1199,1177,279250,299668,18677,16226,39,101,0
Clothing,B,Banff,1,11B,2025,202502,48632,50670,2003,2304,297841,300772,31750,33180,125,198,0
Clothing,B,Banff,1,11B,2025,202503,43191,30663,1875,1392,280483,326900,27552,20051,290,108,0
Clothing,B,Banff,1,11B,2025,202504,62403,50888,2774,2321,335179,337416,40126,33356,256,107,0
Clothing,B,Banff,1,11B,2025,202505,124240,119749,5356,5214,323835,298697,81910,78818,205,499,0
Clothing,B,Banff,1,11B,2025,202506,135119,121917,5667,5195,271523,256740,89574,80219,206,145,0
Clothing,B,Banff,1,11B,2025,202507,120470,118756,5066,5374,214687,247320,78144,76625,324,2099,0
Clothing,B,Banff,1,11B,2025,202508,113221,105432,4779,4894,317011,232852,72392,66968,329,2034,0
Clothing,B,Banff,1,11B,2025,202509,50206,43543,2017,1869,286292,204329,32191,27814,170,132,0
Clothing,B,Banff,1,11B,2025,202510,23034,23688,929,959,277267,208415,14691,14783,260,251,0
Clothing,B,Banff,1,11B,2025,202511,34503,31077,1374,1312,282345,193717,22504,19833,172,530,0
Clothing,B,Banff,1,11B,2025,202512,24906,19870,999,791,346268,237085,16245,12782,368,21,0
Clothing,C,Canmore,1,11C,2025,202501,8092,6191,386,359,91513,107017,4872,3902,34,40,0
Clothing,C,Canmore,1,11C,2025,202502,15097,10360,705,529,98019,113527,9160,6718,118,91,0
Clothing,C,Canmore,1,11C,2025,202503,14901,8045,718,405,87430,114233,9096,5111,92,113,0
Clothing,C,Canmore,1,11C,2025,202504,17057,13878,902,666,116510,121224,9866,8911,333,83,0
Clothing,C,Canmore,1,11C,2025,202505,27277,22007,1299,1084,109797,107003,17179,14139,182,787,0
